Method, GldStd, PPIN, Predicts, Refs, Precision, Recall, F1-score, F2-score, AUC-PR, MMR, Sensitivity, PPP, Accuracy, F-Match, Separation
P5COMP,CYC,Collins,1137,408,0.6675461741424802,0.6323529411764706,0.6494731500552222,0.42530566767985767,0.29038868508858556,0.5735325625651887,0.7432291666666667,0.6621137483206448,0.7014999995744091,0.6446078431372549,0.2864118610168119
PC2P,CYC,Collins,209,408,0.8995215311004785,0.5294117647058824,0.6665353555249163,0.37892615195117857,0.3438210523460392,0.41328896401286713,0.6395833333333333,0.7383399209486166,0.6871898629733896,0.5808823529411765,0.6721277676223001
CUBCO+,CYC,Collins,7520,408,0.805718085106383,0.9215686274509803,0.8597582606359131,0.6000005267357919,0.6534441773921407,0.8501743479167976,0.8885416666666667,0.7100837223086612,0.7943166711664865,0.9387254901960784,0.16555297893335744
ClusterOne,CYC,Collins,125,408,0.968,0.36764705882352944,0.5328987932705012,0.27335366542415007,0.25652463626921557,0.2523341116507138,0.5625,0.6945812807881774,0.6250615733216607,0.39950980392156865,0.504691903192465
P5COMP,CYC,Gavin,966,408,0.6542443064182195,0.5318627450980392,0.5867399107551586,0.36598523452500564,0.28525668049079805,0.4854169026118291,0.6885416666666667,0.6703948254952162,0.6794076614751893,0.5490196078431373,0.2622385069233249
PC2P,CYC,Gavin,183,408,0.8852459016393442,0.46078431372549017,0.6060895522388059,0.3338704903476173,0.31079085095855274,0.3560022504274377,0.5291666666666667,0.7620783956244302,0.6350326640034046,0.4950980392156863,0.6129403016863965
CUBCO+,CYC,Gavin,7601,408,0.8059465859755295,0.9215686274509803,0.8598883335598121,0.6000321979475631,0.6514433630092347,0.8501743479167976,0.8885416666666667,0.7100630583289543,0.7943051134709128,0.9387254901960784,0.16467664179464428
ClusterOne,CYC,Gavin,114,408,0.8947368421052632,0.2867647058823529,0.4343268915820504,0.215592228274124,0.22699598227206247,0.2157202072005273,0.43020833333333336,0.7358309317963496,0.5626371821904603,0.3161764705882353,0.4498749551359345
P5COMP,CYC,KroganCore,1102,408,0.6660617059891107,0.6348039215686274,0.6500572757270597,0.42653880628995866,0.2974793149582446,0.578188278338634,0.7354166666666667,0.6678272082527402,0.7008075765875652,0.6519607843137255,0.28978627610030794
PC2P,CYC,KroganCore,219,408,0.8493150684931506,0.5098039215686274,0.6371541501976286,0.36412920713801666,0.3243362466800924,0.4175477479698186,0.5401041666666667,0.7515527950310559,0.6371159989093451,0.571078431372549,0.6624054501981496
CUBCO+,CYC,KroganCore,7682,408,0.8049986982556626,0.9215686274509803,0.8593485286160742,0.5999007210623052,0.6474626294486281,0.8502210332576007,0.8885416666666667,0.7091990266799131,0.7938216960782489,0.9387254901960784,0.1637934278133252
ClusterOne,CYC,KroganCore,132,408,0.8560606060606061,0.33088235294117646,0.4772855265627933,0.2457115245228316,0.20619040982811837,0.24195165919050945,0.45989583333333334,0.7015355086372361,0.568008149023978,0.39215686274509803,0.4826284743229537
P5COMP,CYC,KroganExt,979,408,0.7548518896833504,0.6519607843137255,0.6996437253303815,0.44474409691545236,0.345491082090747,0.5924683420090184,0.7416666666666667,0.6596813549590929,0.6994738534031566,0.6617647058823529,0.31361333407878683
PC2P,CYC,KroganExt,225,408,0.8533333333333334,0.5245098039215687,0.6496845500687823,0.3736716458631745,0.3240326077822061,0.4319829844621599,0.5661458333333333,0.7446443873179092,0.6492898560697581,0.5931372549019608,0.6748796243653349
CUBCO+,CYC,KroganExt,7750,408,0.8046451612903226,0.9215686274509803,0.8591470439082731,0.5998516191421539,0.6491217867624286,0.8502210332576007,0.8885416666666667,0.7088887304868486,0.793648016483379,0.9387254901960784,0.16306223139293985
ClusterOne,CYC,KroganExt,133,408,0.8646616541353384,0.3284313725490196,0.4760433721540885,0.2441942461433631,0.20632344652109227,0.24418407050596574,0.46510416666666665,0.6823008849557523,0.5633302623801373,0.39215686274509803,0.47918114597224326
P5COMP,CYC,BIM,1569,408,0.7010834926704907,0.9338235294117647,0.8008874543875389,0.5899100883281623,0.5089863683859931,0.8818876893071862,0.9526041666666667,0.6840293926146405,0.807223172070262,0.9754901960784313,0.363705617754556
PC2P,CYC,BIM,307,408,0.9511400651465798,0.8308823529411765,0.8869534830584788,0.5658453768686951,0.6580853466386237,0.6758694245294276,0.9260416666666667,0.7521978021978022,0.8346055993163816,0.9068627450980392,0.8290169887512389
CUBCO+,CYC,BIM,7901,408,0.8067333248955828,0.9215686274509803,0.86033591749818,0.6001411316676324,0.7018120090359279,0.8510380267216529,0.8890625,0.7086560617417618,0.7937502944202824,0.9387254901960784,0.16153065895727103
